#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
50.2655	58.1195	7.40225e-05	-0.00023706	4.20254
50.2655	59.6903	0.000352332	-8.49847e-05	1.24121
50.2655	61.2611	0.000378291	0.000114521	0.697267
50.2655	62.8319	0.000313474	0.000291292	0.07076
50.2655	64.4026	7.36907e-06	0.000391081	-52.0706
50.2655	65.9734	-0.000642394	0.000107724	1.16769
50.2655	67.5442	-0.000651929	-5.81333e-05	0.910829
50.2655	69.115	-0.000160033	0.000240385	2.5021
50.2655	70.6858	0.000202212	0.000294612	-0.456949
50.2655	72.2566	0.000231413	-0.000252459	2.09094
50.2655	73.8274	-0.000225525	-0.000751118	-2.33053
50.2655	75.3982	-0.000131723	-0.000560949	-3.25854
50.2655	76.969	0.000542764	5.40188e-05	0.900474
50.2655	78.5398	0.000428002	0.000538501	-0.258172
50.2655	80.1106	-0.000266319	0.000476906	2.79073
50.2655	81.6814	-7.96187e-06	-0.000241894	-29.3815
50.2655	83.2522	0.000709048	-0.000671695	1.94732
50.2655	84.823	0.000634179	0.000401419	0.367025
50.2655	86.3938	0.000278814	0.000611526	-1.19331
50.2655	87.9646	-6.41122e-05	-0.000620092	-8.67198
50.2655	89.5354	-0.000321466	-0.00108411	-2.37239
50.2655	91.1062	-0.00018923	-0.00143877	-6.60331
50.2655	92.677	0.000202617	-0.000987557	5.874
50.2655	94.2478	0.000135901	0.000154113	-0.134014
50.2655	95.8186	-0.00027814	0.000141432	1.50849
50.2655	97.3894	-0.000297894	-0.000198345	0.334175
50.2655	98.9602	0.000231085	-0.000118965	1.51481
50.2655	100.531	0.000452754	0.000272075	0.399067
50.2655	102.102	0.000355932	0.000808723	-1.27213
50.2655	103.673	0.000135342	0.00126507	-8.34722
50.2655	105.243	-0.000392305	0.000756629	2.92868
50.2655	106.814	-0.000403788	0.000216395	1.53591
50.2655	108.385	6.91197e-05	0.00106908	-14.4671
50.2655	109.956	0.000162066	0.00143521	-7.85569
50.2655	111.527	-3.01814e-05	0.000369461	13.2414
50.2655	113.097	-5.32092e-06	-3.7497e-05	-6.04709
50.2655	114.668	0.000151081	0.000125714	0.167902
50.2655	116.239	0.000212106	-0.000337666	2.59196
50.2655	117.81	1.4933e-05	-0.00115709	78.4856
50.2655	119.381	-7.36001e-05	-0.00210035	-27.5374
50.2655	120.951	0.000244105	-0.00351813	15.4124
50.2655	122.522	0.000511717	-0.00470256	10.1898
50.2655	124.093	7.73597e-05	-0.00346561	45.7986
50.2655	125.664	-0.000598804	-0.000595813	0.00499461
50.2655	127.235	-0.000768703	0.000805131	2.04739
50.2655	128.805	-0.000646229	0.00134049	3.07432
50.2655	130.376	-0.00043253	0.000981432	3.26905
50.2655	131.947	-8.00632e-05	0.000982269	13.2687
50.2655	133.518	0.00024819	0.000904978	-2.6463
50.2655	135.088	0.00051774	-0.000760178	2.46826
50.2655	136.659	0.000381946	-0.00248234	7.49921
50.2655	138.23	-9.8344e-05	-0.00220066	-21.3772
50.2655	139.801	-0.000352974	0.000420549	2.19145
50.2655	141.372	-0.000405001	0.003664	10.0469
50.2655	142.942	-0.000524283	0.00351895	7.71193
50.2655	144.513	-0.000661205	0.000366298	1.55399
50.2655	146.084	-0.000553067	0.000164896	1.29815
50.2655	147.655	-0.000243662	0.00157608	7.46829
50.2655	149.226	-7.9167e-05	0.00214034	28.0357
50.2655	150.796	0.000180264	0.00180698	-9.02408
50.2655	152.367	0.000649581	-0.00344957	6.31045
50.2655	153.938	0.000856596	-0.0087857	11.2565
50.2655	155.509	0.000918725	-0.00493556	6.37219
50.2655	157.08	0.000990054	0.000475466	0.519758
50.2655	158.65	0.000823289	-0.000722386	1.87744
50.2655	160.221	0.000605927	-0.00404719	7.67934
50.2655	161.792	0.000857988	-0.00504798	6.88351
50.2655	163.363	0.00150319	-0.00313082	3.08278
50.2655	164.934	0.00198768	0.000193963	0.902417
50.2655	166.504	0.0017378	0.000752623	0.566912
50.2655	168.075	0.000857713	-0.00192964	3.24975
50.2655	169.646	0.000118912	-0.000704879	6.92774
50.2655	171.217	-9.22932e-05	0.00404245	44.8001
50.2655	172.788	-0.000243034	0.00654	27.9098
50.2655	174.358	-0.000805865	0.00885338	11.9862
50.2655	175.929	-0.00143896	0.00845206	6.87372
50.2655	177.5	-0.00166513	-0.00115349	0.30727
50.2655	179.071	-0.00135898	-0.00482719	-2.55206
50.2655	180.642	-0.000680717	0.00458545	7.7362
50.2655	182.212	0.000499773	0.00117979	-1.36066
50.2655	183.783	0.00138476	-0.015853	12.4482
