#b 	 momk 	 non Elliptic 	 Smat 	 Smat Fderiv 	 Smat Sderiv 
1.5026	0.111111	0.958183	29.1862	10.7617	-1.03785
1.5468	0.111111	1.02838	29.6611	10.7325	-0.28353
1.59099	0.111111	0.890224	30.1348	10.7001	-1.18463
1.63518	0.111111	0.479588	30.6055	10.5812	-4.19568
1.67938	0.111111	0.844656	31.0701	10.4643	-1.09621
1.72357	0.111111	0.372444	31.5303	10.3381	-4.61441
1.76777	0.111111	0.327666	31.9827	10.1317	-4.7236
1.81196	0.111111	-0.0201706	32.425	9.86811	-7.20659
1.85616	0.111111	0.0896374	32.8545	9.57463	-6.073
1.90035	0.111111	0.0302801	33.2716	9.30128	-6.29847
1.94454	0.111111	0.0108276	33.6765	9.02472	-6.2186
1.98874	0.111111	-0.181719	34.0689	8.72148	-7.50264
2.03293	0.111111	-0.242267	34.4469	8.38473	-7.7384
2.07713	0.111111	-0.368654	34.8097	8.026	-8.49375
2.12132	0.111111	-0.350217	35.1562	7.6591	-8.11185
2.16551	0.111111	-0.470927	35.4865	7.28466	-8.83466
2.20971	0.111111	-0.441825	35.8	6.9042	-8.38089
2.2539	0.111111	-0.552501	36.0967	6.51934	-9.0374
2.2981	0.111111	-0.511884	36.3762	6.13163	-8.50616
2.34229	0.111111	-0.59645	36.6387	5.74546	-8.97162
2.38649	0.111111	-0.576801	36.884	5.35668	-8.62025
2.43068	0.111111	-0.598413	37.1123	4.97609	-8.60479
2.47487	0.111111	-0.618006	37.3238	4.59639	-8.57996
2.51907	0.111111	-0.553471	37.5188	4.23212	-7.90285
2.56326	0.111111	-0.652316	37.6979	3.86923	-8.5216
2.60746	0.111111	-0.514238	37.861	3.52001	-7.27992
2.65165	0.111111	-0.665479	38.0091	3.17514	-8.32883
2.69584	0.111111	-0.479317	38.1418	2.84258	-6.72251
2.74004	0.111111	-0.680807	38.2604	2.51319	-8.18205
2.78423	0.111111	-0.411701	38.3642	2.20125	-5.93581
2.82843	0.111111	-0.697735	38.455	1.89157	-8.07688
2.87262	0.111111	-0.362345	38.5316	1.59559	-5.3192
2.91682	0.111111	-0.737304	38.596	1.29742	-8.1723
2.96101	0.111111	-0.264737	38.6466	1.02089	-4.34353
3.0052	0.111111	-0.850271	38.686	0.729011	-8.86648
3.0494	0.111111	-0.185646	38.7113	0.455121	-3.52672
3.09359	0.111111	-0.963672	38.726	0.165643	-9.57479
3.13779	0.111111	-0.145956	38.7261	-0.112897	-3.02885
3.18198	0.111111	-1.07362	38.7158	-0.406537	-10.2611
3.22617	0.111111	-0.0790881	38.6904	-0.68458	-2.3229
3.27037	0.111111	-1.2078	38.655	-0.98222	-11.145
3.31456	0.111111	-0.0566954	38.6037	-1.272	-1.97024
3.35876	0.111111	-1.41168	38.5421	-1.59345	-12.5751
3.40295	0.111111	-0.0249264	38.463	-1.90524	-1.53634
3.44715	0.111111	-1.58804	38.3733	-2.2438	-13.7828
3.49134	0.111111	-0.0392208	38.2647	-2.58059	-1.46015
3.53553	0.111111	-1.77901	38.1448	-2.94641	-15.0968
3.57973	0.111111	-0.0495011	38.0043	-3.30973	-1.34302
3.62392	0.111111	-1.98191	37.8518	-3.70388	-16.4957
3.66812	0.111111	-0.0794541	37.6769	-4.09872	-1.37054
3.71231	0.111111	-2.2494	37.4889	-4.53534	-18.3901
3.7565	0.111111	-0.0951186	37.2761	-4.9697	-1.26886
3.8007	0.111111	-2.5611	37.0489	-5.45337	-20.6164
3.84489	0.111111	-0.119551	36.7941	-5.93578	-1.21712
3.88909	0.111111	-2.87848	36.5235	-6.46806	-22.8681
3.93328	0.111111	-0.15106	36.2224	-6.99988	-1.20183
3.97748	0.111111	-3.17613	35.9041	-7.57774	-24.9456
4.02167	0.111111	-0.230079	35.5525	-8.163	-1.54256
4.06586	0.111111	-3.46786	35.182	-8.79267	-26.956
4.11006	0.111111	-0.310275	34.7752	-9.42979	-1.87281
4.15425	0.111111	-3.74299	34.3479	-10.1079	-28.8165
4.19845	0.111111	-0.411917	33.8816	-10.7967	-2.35393
4.24264	0.111111	-4.01109	33.393	-11.5249	-30.6029
4.28683	0.111111	-0.504608	32.8629	-12.2618	-2.74675
4.33103	0.111111	-4.24015	32.3087	-13.0311	-32.0656
4.37522	0.111111	-0.622708	31.7109	-13.8131	-3.32556
4.41942	0.111111	-4.38457	31.0875	-14.6125	-32.848
4.46361	0.111111	-0.788913	30.419	-15.4327	-4.27372
4.50781	0.111111	-4.46794	29.7233	-16.2595	-33.1383
4.552	0.111111	-0.964326	28.9815	-17.1085	-5.28673
4.59619	0.111111	-4.45566	28.2114	-17.9472	-32.6688
4.64039	0.111111	-1.14361	27.3948	-18.809	-6.32908
4.68458	0.111111	-4.41622	26.5491	-19.6556	-31.9843
4.72878	0.111111	-1.28206	25.6572	-20.5182	-7.05072
4.77297	0.111111	-4.34633	24.7358	-21.3604	-31.0635
4.81716	0.111111	-1.3558	23.7693	-22.2073	-7.26875
4.86136	0.111111	-4.19264	22.7734	-23.0198	-29.4931
4.90555	0.111111	-1.47572	21.7344	-23.8452	-7.86426
