#b 	 momk 	 DP 	 WW 
3.0494	0.222222	35.3928	0
3.09359	0.222222	35.5893	0
3.13779	0.222222	35.7611	0
3.18198	0.222222	35.9118	0
3.22617	0.222222	36.0384	0
3.27037	0.222222	36.1446	0
3.31456	0.222222	36.226	0
3.35876	0.222222	36.2883	0
3.40295	0.222222	36.3252	0
3.44715	0.222222	36.3435	0
3.49134	0.222222	36.3356	0
3.53553	0.222222	36.3099	0
3.57973	0.222222	36.2568	0
3.62392	0.222222	36.1857	0
3.66812	0.222222	36.0855	0
3.71231	0.222222	35.9669	0
3.7565	0.222222	35.8182	0
3.8007	0.222222	35.6511	0
3.84489	0.222222	35.4523	0
3.88909	0.222222	35.2341	0
3.93328	0.222222	34.9826	0
3.97748	0.222222	34.7109	0
4.02167	0.222222	34.4034	0
4.06586	0.222222	34.0749	0
4.11006	0.222222	33.7081	0
4.15425	0.222222	33.3191	0
4.19845	0.222222	32.8898	0
4.24264	0.222222	32.4373	0
4.28683	0.222222	31.9426	0
4.33103	0.222222	31.4231	0
4.37522	0.222222	30.8595	0
4.41942	0.222222	30.2698	0
4.46361	0.222222	29.6343	0
4.50781	0.222222	28.9717	0
4.552	0.222222	28.2624	0
4.59619	0.222222	27.5249	0
4.64039	0.222222	26.7403	0
4.68458	0.222222	25.9267	0
4.72878	0.222222	25.0664	0
4.77297	0.222222	24.1766	0
4.81716	0.222222	23.2412	0
4.86136	0.222222	22.2763	0
4.90555	0.222222	21.2678	0
4.94975	0.222222	20.2302	0
4.99394	0.222222	19.1517	0
5.03814	0.222222	18.0452	0
5.08233	0.222222	16.9013	0
5.12652	0.222222	15.7313	0
5.17072	0.222222	14.528	0
5.21491	0.222222	13.3008	0
5.25911	0.222222	12.0453	0
5.3033	0.222222	10.7689	0
5.3475	0.222222	9.46942	0
5.39169	0.222222	8.15283	0
5.43588	0.222222	6.81881	0
5.48008	0.222222	5.47194	0
5.52427	0.222222	4.11349	0
5.56847	0.222222	2.74704	0
5.61266	0.222222	1.37487	0

0	0.333333	4.40435	0
0.0441942	0.333333	4.42857	0
0.0883883	0.333333	4.51178	0
0.132583	0.333333	4.49313	0
0.176777	0.333333	4.5669	0
0.220971	0.333333	4.63354	0
0.265165	0.333333	4.6888	0
0.309359	0.333333	4.7749	0
0.353553	0.333333	4.84789	0
0.397748	0.333333	4.97691	0
0.441942	0.333333	5.12653	0
0.486136	0.333333	5.2939	0
0.53033	0.333333	5.42179	0
0.574524	0.333333	5.64022	0
0.618718	0.333333	5.86391	0
0.662913	0.333333	6.06426	0
0.707107	0.333333	6.269	0
0.751301	0.333333	6.56157	0
0.795495	0.333333	6.82209	0
0.839689	0.333333	7.1285	0
0.883883	0.333333	7.46761	0
0.928078	0.333333	7.84938	0
0.972272	0.333333	8.24704	0
1.01647	0.333333	8.68686	0
1.06066	0.333333	9.15132	0
1.10485	0.333333	9.6021	0
1.14905	0.333333	10.0475	0
1.19324	0.333333	10.5452	0
1.23744	0.333333	11.0748	0
1.28163	0.333333	11.6278	0
1.32583	0.333333	12.1959	0
1.37002	0.333333	12.7674	0
1.41421	0.333333	13.3923	0
1.45841	0.333333	14.023	0
1.5026	0.333333	14.6618	0
1.5468	0.333333	15.3037	0
1.59099	0.333333	15.9664	0
1.63518	0.333333	16.6258	0
1.67938	0.333333	17.3046	0
1.72357	0.333333	17.9935	0
1.76777	0.333333	18.677	0
1.81196	0.333333	19.3476	0
1.85616	0.333333	20.0242	0
1.90035	0.333333	20.7134	0
1.94454	0.333333	21.3932	0
1.98874	0.333333	22.0749	0
2.03293	0.333333	22.7442	0
2.07713	0.333333	23.4291	0
2.12132	0.333333	24.1142	0
