#b 	 momk 	 DP 	 WW 
4.06586	1	8.05903e-07	2.12331e-07
4.11006	1	6.10336e-07	1.63224e-07
4.15425	1	4.66036e-07	1.26293e-07
4.19845	1	3.49054e-07	9.62855e-08
4.24264	1	2.70866e-07	7.52891e-08
4.28683	1	1.9977e-07	5.67265e-08
4.33103	1	1.58311e-07	4.4996e-08
4.37522	1	1.14463e-07	3.33679e-08
4.41942	1	9.30557e-08	2.6956e-08
4.46361	1	6.59845e-08	1.96083e-08
4.50781	1	5.59927e-08	1.61729e-08
4.552	1	3.88183e-08	1.15013e-08
4.59619	1	3.38543e-08	9.73685e-09
4.64039	1	2.28169e-08	6.75742e-09
4.68458	1	2.04325e-08	5.88419e-09
4.72878	1	1.33815e-08	3.97959e-09
4.77297	1	1.22751e-08	3.56585e-09
4.81716	1	7.81606e-09	2.34787e-09
4.86136	1	7.30286e-09	2.16326e-09
4.90555	1	4.51519e-09	1.39038e-09
4.94975	1	4.24062e-09	1.30655e-09
4.99394	1	2.53334e-09	8.32041e-10
5.03814	1	2.38995e-09	7.94642e-10
5.08233	1	1.40294e-09	5.02054e-10
5.12652	1	1.35721e-09	4.74839e-10
5.17072	1	7.90722e-10	2.9661e-10
5.21491	1	7.6538e-10	2.80554e-10
5.25911	1	4.44389e-10	1.7464e-10
5.3033	1	4.29744e-10	1.6378e-10
5.3475	1	2.54177e-10	1.01228e-10
5.39169	1	2.48849e-10	9.28951e-11
5.43588	1	1.5387e-10	5.63531e-11
5.48008	1	1.52558e-10	4.81703e-11
5.52427	1	1.03116e-10	2.40154e-11
5.56847	1	9.78687e-11	1.35484e-11
5.61266	1	8.03007e-11	9.80318e-13

0	2	-17.6976	5.30777
0.0441942	2	-10.0904	-13.3895
0.0883883	2	6.3648	-9.1504
0.132583	2	10.5636	-21.5203
0.176777	2	23.4232	-12.4376
0.220971	2	8.3394	-15.0253
0.265165	2	14.0847	-16.2491
0.309359	2	28.5387	-14.2993
0.353553	2	29.8226	-11.7799
0.397748	2	31.1586	-34.0259
0.441942	2	-1.98689	-14.4746
0.486136	2	18.3307	-5.97387
0.53033	2	-8.32049	-9.55817
0.574524	2	-2.118	-13.3956
0.618718	2	-17.6673	-17.2099
0.662913	2	14.9833	-6.04062
0.707107	2	14.5203	1.65409
0.751301	2	-7.14809	-6.31312
0.795495	2	-3.47163	3.03173
0.839689	2	3.58432	4.79413
0.883883	2	-5.44236	-1.40642
0.928078	2	1.19499	-2.04939
0.972272	2	10.686	-2.01445
1.01647	2	12.6112	-0.293534
1.06066	2	13.6394	-3.35899
1.10485	2	11.6382	-2.01655
1.14905	2	9.02346	-1.70226
1.19324	2	7.14715	-0.998173
1.23744	2	5.93917	-0.0556664
1.28163	2	4.61606	0.296017
1.32583	2	3.59601	0.447181
1.37002	2	2.87877	0.556403
1.41421	2	2.34807	0.515044
1.45841	2	1.93639	0.446323
1.5026	2	1.61802	0.372009
1.5468	2	1.34526	0.290421
1.59099	2	1.1144	0.226267
1.63518	2	0.918116	0.164948
1.67938	2	0.748167	0.124348
1.72357	2	0.605298	0.0865466
1.76777	2	0.482721	0.06364
1.81196	2	0.382217	0.0424509
1.85616	2	0.298137	0.0307017
1.90035	2	0.231105	0.0199643
1.94454	2	0.176518	0.0143532
1.98874	2	0.13412	0.00920194
2.03293	2	0.100586	0.00676605
2.07713	2	0.0750596	0.00441997
2.12132	2	0.0554218	0.00333971
2.16551	2	0.0407775	0.00234434
2.20971	2	0.0297543	0.00184594
2.2539	2	0.0216544	0.00140025
2.2981	2	0.0156755	0.00113499
2.34229	2	0.0113392	0.000902426
2.38649	2	0.00818589	0.000736985
2.43068	2	0.00591267	0.000597669
2.47487	2	0.0042765	0.000484185
2.51907	2	0.00309748	0.000393505
2.56326	2	0.00225335	0.000315444
2.60746	2	0.00164247	0.000254198
2.65165	2	0.00120558	0.000201028
2.69584	2	0.000886406	0.000159949
2.74004	2	0.000656663	0.000124406
2.78423	2	0.000486533	9.76241e-05
2.82843	2	0.00036315	7.48704e-05
2.87262	2	0.000271768	5.83907e-05
2.91682	2	0.000204223	4.46549e-05
2.96101	2	0.000153533	3.41265e-05
3.0052	2	0.000116709	2.61597e-05
3.0494	2	8.80441e-05	1.97871e-05
3.09359	2	6.71577e-05	1.5516e-05
3.13779	2	5.07663e-05	1.13998e-05
3.18198	2	3.87829e-05	8.48582e-06
3.22617	2	2.94931e-05	6.35137e-06
3.27037	2	2.27832e-05	4.87144e-06
3.31456	2	1.71609e-05	3.61448e-06
3.35876	2	1.33744e-05	2.78554e-06
3.40295	2	9.97224e-06	2.00519e-06
3.44715	2	7.83962e-06	1.51102e-06
3.49134	2	5.77224e-06	1.09012e-06
3.53553	2	4.55481e-06	8.21708e-07
3.57973	2	3.31843e-06	6.01024e-07
3.62392	2	2.60506e-06	4.50317e-07
3.66812	2	1.89145e-06	3.33991e-07
3.71231	2	1.46727e-06	2.51538e-07
3.7565	2	1.06543e-06	1.87291e-07
3.8007	2	8.04647e-07	1.40191e-07
3.84489	2	5.90204e-07	1.05842e-07
3.88909	2	4.24405e-07	7.75266e-08
3.93328	2	3.19963e-07	6.04577e-08
3.97748	2	2.11599e-07	4.23409e-08
4.02167	2	1.68819e-07	3.48889e-08
4.06586	2	9.71731e-08	2.26375e-08
4.11006	2	8.62694e-08	2.04102e-08
4.15425	2	3.89875e-08	1.19887e-08
4.19845	2	4.26128e-08	1.21265e-08
4.24264	2	1.19068e-08	6.31564e-09
4.28683	2	2.04011e-08	7.29639e-09
4.33103	2	1.09342e-09	3.3876e-09
4.37522	2	9.60891e-09	4.46016e-09
4.41942	2	-1.96974e-09	1.93257e-09
4.46361	2	4.81447e-09	2.74986e-09
4.50781	2	-1.33976e-09	1.20938e-09
4.552	2	3.07601e-09	1.72425e-09
4.59619	2	-2.15103e-10	8.54635e-10
4.64039	2	2.17857e-09	1.10395e-09
4.68458	2	6.33529e-10	6.57065e-10
4.72878	2	1.64716e-09	7.17933e-10
4.77297	2	1.07634e-09	5.19358e-10
4.81716	2	1.2707e-09	4.71452e-10
4.86136	2	1.17877e-09	4.05505e-10
4.90555	2	9.66893e-10	3.08589e-10
4.94975	2	1.05545e-09	3.07414e-10
4.99394	2	7.05944e-10	2.0492e-10
5.03814	2	8.33905e-10	2.23691e-10
5.08233	2	4.91616e-10	1.3776e-10
5.12652	2	6.01882e-10	1.56302e-10
5.17072	2	3.29255e-10	9.06809e-11
5.21491	2	4.0514e-10	1.04284e-10
5.25911	2	2.12617e-10	5.90703e-11
5.3033	2	2.59473e-10	6.75493e-11
5.3475	2	1.34412e-10	3.88036e-11
5.39169	2	1.62989e-10	4.25611e-11
5.43588	2	8.46239e-11	2.58137e-11
5.48008	2	9.70049e-11	2.78199e-11
5.52427	2	5.05435e-11	1.89396e-11
5.56847	2	4.81097e-11	1.90056e-11
5.61266	2	5.38127e-11	1.16052e-11

